"iso3c","nutrient","total_supply_all","total_supply_OA_all","relative_supply_all","supply_diff_all"
"BHS","Vitamin A",125539.225431398,118461.599358554,1.05974616340795,7077.62607284347
"BHS","Vitamin B12",5659.21801655002,5340.16372217947,1.05974616340795,319.05429437055
"BHS","Zinc",1086.68867879226,1025.42355548395,1.05974616340795,61.265123308307
"BIH","Calcium",NA,NA,NA,NA
"BIH","DHA+EPA",NA,NA,NA,NA
"BIH","Iron",NA,NA,NA,NA
"BIH","Vitamin A",NA,NA,NA,NA
"BIH","Vitamin B12",NA,NA,NA,NA
"BIH","Zinc",NA,NA,NA,NA
"BLM","Calcium",1316.25092260846,1203.87717407122,1.09334320058351,112.373748537241
"BLM","DHA+EPA",1.48627172603865,1.35938260305221,1.09334320058351,0.126889122986439
"BLM","Iron",13.8118952256373,12.6327169897485,1.09334320058351,1.17917823588883
"BLM","Vitamin A",169.733458002408,155.24261541282,1.09334320058351,14.4908425895879
"BLM","Vitamin B12",6.5143477743033,5.95819114329939,1.09334320058351,0.556156631003901
"BLM","Zinc",1.75210379503031,1.60251949625262,1.09334320058351,0.149584298777697
"BLZ","Calcium",134270.935045785,127673.271494352,1.0516761533108,6597.66355143391
"BLZ","DHA+EPA",67.4499818733398,64.1356958232809,1.0516761533108,3.31428605005891
"BLZ","Iron",684.147503589634,650.530585328815,1.0516761533108,33.6169182608186
"BLZ","Vitamin A",18281.8463721232,17383.5322923029,1.0516761533108,898.314079820346
"BLZ","Vitamin B12",429.009689174984,407.92946367036,1.0516761533108,21.0802255046233
"BLZ","Zinc",29.6027634172807,28.1481740591794,1.0516761533108,1.45458935810133
"BMU","Calcium",7218808.18451278,6706988.9967449,1.07631132062633,511819.187767885
